in,rank,accesses,reads,writes
246902,924,79,79,0
246903,925,79,79,0
246904,926,79,79,0
246905,927,79,79,0
246906,928,79,79,0
246907,929,79,79,0
246908,930,79,79,0
246909,931,79,79,0
246910,932,79,79,0
246957,933,79,79,0
246958,934,79,79,0
246959,935,79,79,0
246960,936,79,79,0
246961,937,79,79,0
246983,938,79,79,0
246984,939,79,79,0
246985,940,79,79,0
246986,941,79,79,0
246987,942,79,79,0
246988,943,79,79,0
246989,944,79,79,0
246990,945,79,79,0
246991,946,79,79,0
246992,947,79,79,0
246993,948,79,79,0
246859,949,79,79,0
246860,950,79,79,0
246861,951,79,79,0
246862,952,79,79,0
246863,953,79,79,0
246864,954,79,79,0
246865,955,79,79,0
246866,956,79,79,0
246867,957,79,79,0
246868,958,79,79,0
246869,959,79,79,0
246870,960,79,79,0
246871,961,79,79,0
246872,962,79,79,0
246912,963,79,79,0
246913,964,79,79,0
246914,965,79,79,0
246915,966,79,79,0
246916,967,79,79,0
246917,968,79,79,0
246918,969,79,79,0
246919,970,79,79,0
246920,971,79,79,0
246921,972,79,79,0
246922,973,79,79,0
246923,974,79,79,0
246924,975,79,79,0
246925,976,79,79,0
246926,977,79,79,0
246927,978,79,79,0
247000,979,79,79,0
247002,980,79,79,0
247003,981,79,79,0
246857,982,79,79,0
209393,983,79,79,0
209394,984,79,79,0
209395,985,79,79,0
222487,986,79,62,17
220514,987,79,74,5
156059,988,78,78,0
246935,989,78,78,0
246936,990,78,78,0
246937,991,78,78,0
246938,992,78,78,0
246939,993,78,78,0
246940,994,78,78,0
246941,995,78,78,0
246942,996,78,78,0
246943,997,78,78,0
246945,998,78,78,0
246994,999,78,78,0
246995,1000,78,78,0
246996,1001,78,78,0
246997,1002,78,78,0
246998,1003,78,78,0
247117,1004,78,78,0
247118,1005,78,78,0
247119,1006,78,78,0
247120,1007,78,78,0
247121,1008,78,78,0
247122,1009,78,78,0
247123,1010,78,78,0
247124,1011,78,78,0
247125,1012,78,78,0
247126,1013,78,78,0
247127,1014,78,78,0
247128,1015,78,78,0
247129,1016,78,78,0
247130,1017,78,78,0
247131,1018,78,78,0
247132,1019,78,78,0
247133,1020,78,78,0
246930,1021,78,78,0
246931,1022,78,78,0
246932,1023,78,78,0
246873,1024,78,78,0
246874,1025,78,78,0
247001,1026,78,78,0
246847,1027,78,78,0
246848,1028,78,78,0
246849,1029,78,78,0
246850,1030,78,78,0
246851,1031,78,78,0
246852,1032,78,78,0
246853,1033,78,78,0
246854,1034,78,78,0
246855,1035,78,78,0
246856,1036,78,78,0
220629,1037,78,68,10
155866,1038,78,78,0
215316,1039,77,61,16
246944,1040,77,77,0
220438,1041,77,75,2
246962,1042,77,77,0
246963,1043,77,77,0
246964,1044,77,77,0
246965,1045,77,77,0
246966,1046,77,77,0
246967,1047,77,77,0
246968,1048,77,77,0
246969,1049,77,77,0
246970,1050,77,77,0
246971,1051,77,77,0
246972,1052,77,77,0
217700,1053,77,73,4
155870,1054,77,77,0
153736,1055,76,12,64
220656,1056,76,70,6
152895,1057,76,12,64
158104,1058,75,75,0
130374,1059,75,75,0
149531,1060,75,75,0
149532,1061,75,75,0
149536,1062,75,75,0
220641,1063,75,72,3
220724,1064,74,65,9
220611,1065,73,67,6
220426,1066,73,69,4
247946,1067,72,52,20
152575,1068,72,33,39
220493,1069,72,67,5
217538,1070,72,72,0
217539,1071,72,72,0
217540,1072,72,72,0
220709,1073,72,63,9
217545,1074,72,72,0
217546,1075,72,72,0
217547,1076,72,72,0
217548,1077,72,72,0
215322,1078,72,30,42
149534,1079,72,72,0
149535,1080,72,72,0
149527,1081,72,72,0
218206,1082,72,72,0
218222,1083,72,72,0
215320,1084,72,21,51
215288,1085,71,56,15
249783,1086,70,64,6
124035,1087,70,70,0
220496,1088,70,62,8
220445,1089,70,65,5
220700,1090,69,64,5
209350,1091,69,67,2
149533,1092,69,69,0
220502,1093,69,65,4
215261,1094,68,37,31
249751,1095,68,67,1
215284,1096,68,33,35
220454,1097,68,60,8
264995,1098,68,68,0
264987,1099,68,68,0
220517,1100,68,62,6
215269,1101,68,38,30
220571,1102,68,63,5
74351,1103,67,67,0
220484,1104,67,58,9
149551,1105,67,67,0
149518,1106,67,67,0
217872,1107,67,3,64
220448,1108,66,63,3
300916,1109,65,65,0
149530,1110,65,65,0
218214,1111,64,64,0
156063,1112,64,64,0
218217,1113,64,64,0
220436,1114,64,64,0
249752,1115,64,64,0
249779,1116,64,10,54
149543,1117,64,64,0
220653,1118,64,60,4
220632,1119,63,58,5
220583,1120,63,58,5
220630,1121,63,55,8
75528,1122,63,63,0
218489,1123,62,62,0
253360,1124,62,62,0
74355,1125,62,62,0
220678,1126,62,59,3
220592,1127,61,58,3
32722,1128,61,59,2
149537,1129,61,61,0
215330,1130,61,27,34
218221,1131,60,60,0
156058,1132,60,60,0
114177,1133,60,8,52
156033,1134,60,60,0
220697,1135,59,54,5
152905,1136,59,11,48
209684,1137,58,58,0
220439,1138,58,54,4
201038,1139,58,58,0
221144,1140,58,57,1
220425,1141,58,49,9
220544,1142,58,52,6
220638,1143,58,55,3
216292,1144,58,18,40
247951,1145,57,49,8
220654,1146,57,56,1
153527,1147,56,11,45
220617,1148,56,55,1
208718,1149,56,26,30
208720,1150,56,26,30
220556,1151,56,51,5
216744,1152,55,55,0
39100,1153,55,55,0
39097,1154,55,55,0
218220,1155,55,55,0
218240,1156,54,54,0
247934,1157,54,20,34
220541,1158,54,50,4
212632,1159,54,54,0
220710,1160,54,53,1
143388,1161,54,34,20
220727,1162,54,49,5
50015,1163,54,54,0
50032,1164,54,54,0
73764,1165,54,54,0
249787,1166,53,41,12
215309,1167,53,44,9
220651,1168,53,50,3
39102,1169,53,53,0
39098,1170,53,53,0
152181,1171,53,24,29
220481,1172,53,50,3
220492,1173,53,47,6
220705,1174,53,46,7
220620,1175,53,49,4
220582,1176,53,46,7
202155,1177,52,52,0
202156,1178,52,52,0
202157,1179,52,52,0
202158,1180,52,52,0
202159,1181,52,52,0
202160,1182,52,52,0
202161,1183,52,52,0
202162,1184,52,52,0
202163,1185,52,52,0
202164,1186,52,52,0
202165,1187,52,52,0
202166,1188,52,52,0
202167,1189,52,52,0
202168,1190,52,52,0
202169,1191,52,52,0
202170,1192,52,52,0
202115,1193,52,52,0
199345,1194,52,52,0
199346,1195,52,52,0
247141,1196,52,52,0
247135,1197,52,52,0
39101,1198,52,52,0
240480,1199,52,52,0
152638,1200,52,24,28
220575,1201,52,48,4
220694,1202,52,49,3
208719,1203,52,24,28
39103,1204,51,51,0
39104,1205,51,51,0
39105,1206,51,51,0
39106,1207,51,51,0
40097,1208,51,51,0
85740,1209,51,51,0
220599,1210,51,47,4
50523,1211,51,51,0
220437,1212,51,51,0
220530,1213,51,46,5
50020,1214,51,51,0
